beacon1,beacon2,beacon3,beacon4,,Cell,x-coor,y-coor,,,,,error 1,error 2,
56,56,54,49,,1,0,0,200,170,,,27,14.38749457,
73,49,55,51,,2,0,28,,,,,26,13.34166406,
79,46,37,41,,3,0,56,,,,340 cells,49,25.59296778,
71,47,40,49,,4,0,84,b1,b2,b3,b4,29,14.73091986,
74,49,50,35,,5,0,112,65,53,48,58,38,25.0998008,
76,43,48,31,,6,0,140,70,45,50,46,48,30.82207001,
71,41,55,40,,7,25,0,70,50,48,41,43,23.51595203,top right :2
63,45,45,45,,8,25,28,,,,,26,15.68438714,lower right 3
73,45,45,37,,9,25,56,,,,,40,24.04163056,top left 1
73,46,42,35,,10,25,84,,,,,44,26.03843313,lower left 4
69,41,42,34,,11,25,112,,,,,46,27.78488798,
69,38,50,34,,12,25,140,,,,,45,28.65309756,
69,45,38,48,,13,50,0,,,,,32,16.73320053,
69,45,43,48,,14,50,28,,,,,27,14.31782106,
72,50,42,51,,15,50,56,,,,,23,11.95826074,
71,45,42,46,,16,50,84,,,,,32,16.73320053,
73,38,48,51,,17,50,112,,,,,30,18.38477631,
78,47,39,50,,18,50,140,,,,,36,18.70828693,
67,43,42,44,,19,75,0,,,,,32,18.33030278,
67,55,51,49,,20,75,28,,,,,16,9.899494937,
74,43,42,45,,21,75,56,,,,,38,19.6468827,
77,50,52,43,,22,75,84,,,,,34,19.84943324,
75,43,37,46,,23,75,112,,,,,43,21.56385865,
78,45,46,41,,24,75,140,,,,,40,22.93468988,
70,45,44,50,,25,100,0,,,,,25,13,
67,42,40,43,,26,100,28,,,,,36,20.34698995,
72,48,45,42,,27,100,56,,,,,31,18.41195264,
76,40,47,46,,28,100,84,,,,,37,20.85665361,
78,53,45,40,,29,100,112,,,,,34,22.4053565,
76,45,41,39,,30,100,140,,,,,45,24.39262184,
,,,,,31,125,0,,,,,224,112.7031499,
,,,,,32,125,28,,,,,224,112.7031499,
70,38,48,41,,33,125,56,,,,,37,23.21637353,
79,39,41,46,,34,125,84,,,,,47,24.18677324,
75,42,48,48,,35,125,112,,,,,31,17.91647287,
73,38,49,46,,36,125,140,,,,,36,20.83266666,
73,39,50,40,,37,150,0,,,,,42,24.24871131,
74,37,44,43,,38,150,28,,,,,44,24.04163056,
75,39,48,45,,39,150,56,,,,,37,21.56385865,
77,43,45,48,,40,150,84,,,,,35,18.78829423,
77,37,39,48,,41,150,112,,,,,47,24.10394159,
76,39,37,51,,42,150,140,,,,,43,22.06807649,
75,41,44,47,,43,175,0,,,,,37,19.5192213,
70,37,44,48,,44,175,28,,,,,35,19.92485885,
74,45,48,50,,45,175,56,,,,,25,14.45683229,
76,40,42,47,,46,175,84,,,,,41,21.14237451,
,,,,,47,175,112,,,,,224,112.7031499,
,,,,,48,175,140,,,,,224,112.7031499,
76,31,54,69,,49,200,0,,,,,,,
74,41,42,57,,50,200,28,,,,,,,
76,42,48,52,,51,200,56,,,,,,,
77,41,46,54,,52,200,84,,,,,,,
,,,,,53,200,112,,,,,,,
,,,,,54,200,140,,,,,,,
